Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ANGO,2020-05-22,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA,418.43M,-,11.09,6.02%,174411
ANIK,2020-05-22,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA,458.17M,18.27,33.37,2.24%,100695
ANIP,2020-05-22,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,379.79M,-,31.57,-0.35%,71395
ANSS,2020-05-22,"ANSYS, Inc.",Technology,Software - Application,USA,22.94B,56.75,269.87,1.35%,264794
ANTM,2020-05-22,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,69.94B,15.00,277.11,-0.56%,883303
AOBC,2020-05-22,American Outdoor Brands Corporation,Industrials,Aerospace & Defense,USA,568.54M,39.11,10.32,-0.15%,372727
AOD,2020-05-22,Aberdeen Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,753.83M,7.89,7.15,0.42%,281295
AON,2020-05-22,Aon Plc,Financial,Insurance Brokers,United Kingdom,44.88B,27.62,191.97,-0.70%,920601
AOS,2020-05-22,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA,6.78B,21.03,42.22,-1.08%,1101975
APA,2020-05-22,Apache Corporation,Energy,Oil & Gas E&P,USA,4.60B,-,12.17,1.00%,10267394
APAM,2020-05-22,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA,2.23B,10.43,27.96,0.87%,227317
APD,2020-05-22,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA,51.84B,26.53,234.35,-0.51%,775111
APEI,2020-05-22,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA,462.43M,44.11,31.98,-2.41%,66512
APG,2020-05-22,APi Group Corporation,Industrials,Engineering & Construction,USA,1.81B,-,10.65,3.80%,717779
APH,2020-05-22,Amphenol Corporation,Technology,Electronic Components,USA,27.18B,24.71,90.8,0.65%,1592047
APHA,2020-05-22,Aphria Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.08B,13.51,4.04,2.28%,13802272
APLE,2020-05-22,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA,2.06B,11.91,9.15,-4.69%,2810058
APLS,2020-05-22,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.58B,-,34.89,1.37%,887360
APLT,2020-05-22,"Applied Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.02B,-,47.73,-3.42%,92681
APO,2020-05-22,"Apollo Global Management, Inc.",Financial,Asset Management,USA,19.40B,-,45.21,0.56%,1493416
APOG,2020-05-22,"Apogee Enterprises, Inc.",Industrials,Building Products & Equipment,USA,529.59M,8.64,20.02,1.52%,227115
APPF,2020-05-22,"AppFolio, Inc.",Technology,Software - Application,USA,4.53B,143.48,139.61,2.60%,130467
APPN,2020-05-22,Appian Corporation,Technology,Software - Infrastructure,USA,3.93B,-,62.04,2.16%,1591730
APPS,2020-05-22,"Digital Turbine, Inc.",Technology,Software - Application,USA,520.48M,-,5.82,-0.26%,909634
APRE,2020-05-22,"Aprea Therapeutics, Inc.",Healthcare,Biotechnology,USA,581.16M,-,29.0,-3.40%,114260
APTO,2020-05-22,Aptose Biosciences Inc.,Healthcare,Biotechnology,Canada,661.95M,-,7.62,-2.93%,369964
APTS,2020-05-22,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,342.63M,-,7.27,-2.68%,296295
APTV,2020-05-22,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,18.37B,7.93,71.89,0.50%,1411068
APXT,2020-05-22,Apex Technology Acquisition Corporation,Financial,Shell Companies,USA,433.15M,-,9.76,-1.31%,1120
APY,2020-05-22,Apergy Corporation,Energy,Oil & Gas Equipment & Services,USA,686.29M,-,8.65,-1.70%,1581988
AQN,2020-05-22,Algonquin Power & Utilities Corp.,Utilities,Utilities - Renewable,Canada,7.08B,12.98,13.43,1.05%,362011
AQUA,2020-05-22,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,USA,2.07B,32.02,17.9,-2.29%,510772
AR,2020-05-22,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,853.82M,-,3.22,3.54%,7188899
ARCB,2020-05-22,ArcBest Corporation,Industrials,Trucking,USA,530.83M,15.25,21.25,3.51%,103728
ARCC,2020-05-22,Ares Capital Corporation,Financial,Asset Management,USA,6.22B,-,14.72,2.22%,2127718
ARCE,2020-05-22,Arco Platform Limited,Consumer Defensive,Education & Training Services,Brazil,2.75B,2531.50,50.63,0.56%,104981
ARCH,2020-05-22,"Arch Coal, Inc.",Energy,Thermal Coal,USA,481.12M,4.16,31.78,-2.96%,237476
ARCO,2020-05-22,Arcos Dorados Holdings Inc.,Consumer Cyclical,Restaurants,Uruguay,715.24M,54.60,3.44,-2.27%,724817
ARCT,2020-05-22,Arcturus Therapeutics Holdings Inc.,Healthcare,Biotechnology,USA,1.06B,-,58.27,7.71%,492499
