Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
DSTL,2020-03-19,1836,Distillate U.S. Fundamental Stability & Value ETF,Financial,Exchange Traded Fund,USA,-,-,22.93,1.65%,21426
DSU,2020-03-19,1837,"BlackRock Debt Strategies Fund, Inc.",Financial,Closed-End Fund - Debt,USA,308.13M,15.20,6.85,10.48%,832191
DSWL,2020-03-19,1838,"Deswell Industries, Inc.",Consumer Goods,Rubber & Plastics,Hong Kong,41.24M,15.12,2.35,-9.62%,17466
DSX,2020-03-19,1839,Diana Shipping Inc.,Services,Shipping,Greece,167.91M,-,1.46,0.69%,664170
DT,2020-03-19,1840,"Dynatrace, Inc.",Technology,Application Software,USA,6.00B,-,20.88,6.97%,1757830
DTD,2020-03-19,1841,WisdomTree U.S. Total Dividend Fund,Financial,Exchange Traded Fund,USA,-,-,73.49,0.19%,91126
DTE,2020-03-19,1842,DTE Energy Company,Utilities,Electric Utilities,USA,16.90B,12.22,85.41,10.92%,2793626
DTEA,2020-03-19,1843,DAVIDsTEA Inc.,Consumer Goods,Food - Major Diversified,Canada,14.64M,-,0.46,20.12%,94579
DTEC,2020-03-19,1844,ALPS Disruptive Technologies ETF,Financial,Exchange Traded Fund,USA,-,-,23.77,3.41%,26040
DTF,2020-03-19,1845,DTF Tax-Free Income Inc.,Financial,Closed-End Fund - Debt,USA,105.74M,7.38,12.32,-0.71%,88612
DTH,2020-03-19,1846,WisdomTree International High Dividend Fund,Financial,Exchange Traded Fund,USA,-,-,26.1,1.37%,701998
DTIL,2020-03-19,1847,"Precision BioSciences, Inc.",Healthcare,Biotechnology,USA,331.75M,-,5.72,6.12%,427778
DTJ,2020-03-19,1848,DTE Energy Company JR SUB DEB 76,Financial,Exchange Traded Fund,USA,-,-,20.17,7.55%,88104
DTN,2020-03-19,1849,WisdomTree U.S. Dividend ex-Financials Fund,Financial,Exchange Traded Fund,USA,-,-,59.71,-0.57%,51692
DTO,2020-03-19,1850,DB Crude Oil Double Short ETN,Financial,Exchange Traded Fund,USA,-,-,136.72,-6.13%,2906
DTSS,2020-03-19,1851,Datasea Inc.,Conglomerates,Conglomerates,China,32.92M,-,1.49,-7.45%,10871
DTUL,2020-03-19,1852,iPath US Treasury 2-year Bull ETN,Financial,Exchange Traded Fund,USA,-,-,73.56,-11.32%,5
DTUS,2020-03-19,1853,iPath US Treasury 2-year Bear ETN,Financial,Exchange Traded Fund,USA,-,-,23.25,22.33%,302
DTW,2020-03-19,1854,DTE Energy Company JR SUB DB 2017 E,Financial,Exchange Traded Fund,USA,-,-,20.51,13.07%,86078
DTY,2020-03-19,1855,DTE Energy Company,Financial,Exchange Traded Fund,USA,-,-,22.03,8.31%,56931
DTYL,2020-03-19,1856,iPath US Treasury 10-year Bull ETN,Financial,Exchange Traded Fund,USA,-,-,92.29,0.00%,0
DTYS,2020-03-19,1857,iPath US Treasury 10-year Bear ETN,Financial,Exchange Traded Fund,USA,-,-,120.0,0.00%,0
DUC,2020-03-19,1858,Duff & Phelps Utility and Corporate Bond Trust Inc.,Financial,Closed-End Fund - Debt,USA,227.66M,8.95,8.26,-0.24%,32970
DUG,2020-03-19,1859,ProShares UltraShort Oil & Gas,Financial,Exchange Traded Fund,USA,-,-,148.88,-11.98%,62234
DUK,2020-03-19,1860,Duke Energy Corporation,Utilities,Electric Utilities,USA,65.69B,15.56,75.05,-5.34%,6355716
DUKH,2020-03-19,1861,Duke Energy Corporation JR SUB DEB 73,Financial,Exchange Traded Fund,USA,-,-,22.6,9.82%,126930
DUO,2020-03-19,1862,Fangdd Network Group Ltd.,Financial,Property Management,China,587.77M,-,9.18,23.06%,4484
DURA,2020-03-19,1863,VanEck Vectors Morningstar Durable Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,21.91,-0.52%,3424
DUSA,2020-03-19,1864,Davis Select U.S. Equity ETF,Financial,Exchange Traded Fund,USA,-,-,18.27,3.77%,66673
DUSL,2020-03-19,1865,Direxion Daily Industrials Bull 3X Shares Direxion Daily Industrials Bull 3,Financial,Exchange Traded Fund,USA,-,-,8.44,2.75%,13836
DUST,2020-03-19,1866,Direxion Daily Gold Miners Index Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,5.14,-9.51%,26142628
DVA,2020-03-19,1867,DaVita Inc.,Healthcare,Specialized Health Services,USA,10.37B,15.92,71.34,-5.20%,2170820
DVAX,2020-03-19,1868,Dynavax Technologies Corporation,Healthcare,Biotechnology,USA,293.30M,-,3.36,10.89%,2079925
DVD,2020-03-19,1869,"Dover Motorsports, Inc.",Services,Sporting Activities,USA,46.15M,7.88,1.26,5.88%,35191
DVEM,2020-03-19,1870,WisdomTree Emerging Markets Dividend Fund,Financial,Exchange Traded Fund,USA,-,-,26.17,0.00%,0
DVHL,2020-03-19,1871,UBS ETRACS Monthly Pay 2xLeveraged Diversified High Income ETN,Financial,Exchange Traded Fund,USA,-,-,2.92,82.20%,68413
DVLU,2020-03-19,1872,First Trust Dorsey Wright Momentum & Value ETF,Financial,Exchange Traded Fund,USA,-,-,10.54,9.05%,2359
DVN,2020-03-19,1873,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,2.40B,-,6.55,21.07%,13867040
DVOL,2020-03-19,1874,First Trust Dorsey Wright Momentum & Low Volatility ETF,Financial,Exchange Traded Fund,USA,-,-,16.89,-2.36%,29154
DVOP,2020-03-19,1875,Source Dividend Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,15.97,0.00%,0
DVP,2020-03-19,1876,Deep Value ETF,Financial,Exchange Traded Fund,USA,-,-,18.07,2.73%,48683
DVY,2020-03-19,1877,iShares Select Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,70.6,-0.56%,2243107
DVYA,2020-03-19,1878,iShares Asia/Pacific Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,27.28,-0.35%,12140
DVYE,2020-03-19,1879,iShares Emerging Markets Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,26.44,0.76%,270467
DVYL,2020-03-19,1880,UBS ETRACS Monthly Pay 2xLeveraged Dow Jones Select Dividend Index ETN,Financial,Exchange Traded Fund,USA,-,-,29.41,1.42%,38260
DWAS,2020-03-19,1881,Invesco DWA SmallCap Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,36.36,13.61%,235073
DWAT,2020-03-19,1882,Arrow DWA Tactical ETF,Financial,Exchange Traded Fund,USA,-,-,8.34,-2.25%,593
DWAW,2020-03-19,1883,AdvisorShares DWA FSM All Cap World ETF,Financial,Exchange Traded Fund,USA,-,-,20.34,2.75%,100
DWCR,2020-03-19,1884,Arrow DWA Country Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,18.11,3.52%,820
DWEQ,2020-03-19,1885,AdvisorShares DWA Alpha Equal Weight ETF,Financial,Exchange Traded Fund,USA,-,-,19.15,1.90%,100
DWFI,2020-03-19,1886,SPDR Dorsey Wright Fixed Income Allocation ETF,Financial,Exchange Traded Fund,USA,-,-,19.8,-1.00%,86294
DWLD,2020-03-19,1887,Davis Select Worldwide ETF,Financial,Exchange Traded Fund,USA,-,-,17.83,2.21%,307213
DWM,2020-03-19,1888,WisdomTree International Equity Fund,Financial,Exchange Traded Fund,USA,-,-,35.29,1.58%,232493
DWMC,2020-03-19,1889,AdvisorShares Dorsey Wright Micro-Cap ETF,Financial,Exchange Traded Fund,USA,-,-,14.27,5.98%,201
DWPP,2020-03-19,1890,First Trust Dorsey Wright People's Portfolio ETF,Financial,Exchange Traded Fund,USA,-,-,23.39,2.03%,10627
DWSH,2020-03-19,1891,AdvisorShares Dorsey Wright Short ETF,Financial,Exchange Traded Fund,USA,-,-,39.5,-8.43%,413986
DWSN,2020-03-19,1892,Dawson Geophysical Company,Basic Materials,Oil & Gas Equipment & Services,USA,26.42M,-,1.2,11.11%,36383
