,previousClose,open,dayHigh,dayLow,regularMarketPreviousClose,regularMarketPrice,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,marketCap,volume,navPrice,totalAssets,sharesOutstanding,sharesShort,floatShares,shortRatio,shortPercentOfFloat,fiftyDayAverage,twoHundredDayAverage,Date
KIE,27.26,26.93,27.035,26.22,27.26,26.93,26.93,27.035,26.22,,323489,26.34,532306816,,,,,,27.247646,30.150146,2020-06-26
MDYG,52.87,52.59,52.8,51.9906,52.87,52.59,52.59,52.8,51.9906,,88784,52.06,2158954752,,,,,,52.636765,51.777943,2020-06-26
MDYV,41.935,41.73,41.73,40.81,41.935,41.73,41.73,41.73,40.81,,86987,40.88,1366013312,,,,,,42.380882,45.24456,2020-06-26
SDY,89.75,89.34,89.4,87.56,89.75,89.34,89.34,89.4,87.56,,763715,87.79,15430534144,,,,,,90.53618,94.62353,2020-06-26
SLY,57.65,57.2,57.2,55.87,57.65,57.2,57.2,57.2,55.87,,76189,55.98,1011475392,,,,,,57.36735,60.6839,2020-06-26
SPLG,36.1,35.96,35.98,35.18,36.1,35.96,35.96,35.98,35.18,,3963741,35.23,5016886784,,,,,,35.686176,35.35309,2020-06-26
SPMD,30.74,30.55,30.61,30.06,30.74,30.55,30.55,30.61,30.06,,1392197,30.12,2230109440,,,,,,30.807058,31.440367,2020-06-26
PHO,35.2335,35.15,35.2801,34.79,35.2335,35.15,35.15,35.2801,34.79,,51795,34.84,1044684352,,,,,,35.82853,36.123455,2020-06-26
SPHQ,35.07,34.99,35,34.37,35.07,34.99,34.99,35,34.37,,1560027,34.44,1884160256,,,,,,34.97559,34.46,2020-06-26
FXE,105.9,105.89,106.01,105.67,105.9,105.89,105.89,106.01,105.67,,62759,105.7,231069680,,,,,,105.00441,104.33221,2020-06-26
PRF,107.61,106.96,107.05,104.571,107.61,106.96,106.96,107.05,104.571,,224189,104.92,4064069632,,,,,,108.08471,111.677055,2020-06-26
DBC,12.2,12.14,12.14,12,12.2,12.14,12.14,12.14,12,,738136,12.08,818320704,,,,,,11.854706,13.072206,2020-06-26
XBI,114.17,113.75,114.15,109.91,114.17,113.75,113.75,114.15,109.91,,8764216,110.58,4908941312,,,,,,104.915886,93.56309,2020-06-26
XHB,42.46,42.16,42.37,41.56,42.46,42.16,42.16,42.37,41.56,,2049493,41.78,726347584,,,,,,41.647648,40.758457,2020-06-26
XSD,109.91,109.68,110,107.41,109.91,109.68,109.68,110,107.41,,42363,107.48,472214432,,,,,,107.62441,100.4189,2020-06-26
RFG,147.262,146.68,147.14,145.5701,147.262,146.68,146.68,147.14,145.5701,,3252,145.55,306377216,,,,,,145.31383,139.49368,2020-06-26
RPG,128.4,127.95,128.05,125.485,128.4,127.95,127.95,128.05,125.485,,405859,125.7,2300778496,,,,,,125.83676,120.50882,2020-06-26
RZG,98.3767,96.59,96.59,95.076,98.3767,96.59,96.59,96.59,95.076,,1790,95.23,104466528,,,,,,95.94735,99.188385,2020-06-26
RFV,49.8207,48.89,48.89,48.23,49.8207,48.89,48.89,48.89,48.23,,1723,48.29,57310132,,,,,,50.230293,54.01581,2020-06-26
RPV,47.3,47.03,47.03,45.62,47.3,47.03,47.03,47.03,45.62,,417614,45.93,518488672,,,,,,47.78853,53.84309,2020-06-26
RZV,45.1446,44.57,44.57,43.79,45.1446,44.57,44.57,44.57,43.79,,7408,44.44,89202536,,,,,,45.767647,50.134483,2020-06-26
FDL,25.2,25.09,25.1,24.46,25.2,25.09,25.09,25.1,24.46,,286000,24.59,1303051392,,,,,,25.693235,27.414705,2020-06-26
USO,27.94,27.67,27.6979,27.12,27.94,27.67,27.67,27.6979,27.12,,5255015,27.56,4804096000,,,,,,26.102058,57.10397,2020-06-26
FPX,83.57,83.63,83.44,81.9201,83.57,83.63,83.63,83.44,81.9201,,52413,82.34,1247665536,,,,,,80.13588,76.5839,2020-06-26
QQEW,78.82,78.73,78.946,77.469,78.82,78.73,78.73,78.946,77.469,,192610,77.62,782282688,,,,,,76.55029,72.161545,2020-06-26
QTEC,107.37,107.3,107.5916,105.45,107.37,107.3,107.3,107.5916,105.45,,210036,106.04,2413177856,,,,,,103.48324,97.73853,2020-06-26
VIG,116.4,116.06,116.4,114.1733,116.4,116.06,116.06,116.4,114.1733,,1234340,114.39,51668557824,,,,,,116.40676,117.2925,2020-06-26
SLV,16.59,16.49,16.735,16.29,16.59,16.49,16.49,16.735,16.29,,26029207,16.33,8146244608,,,,,,16.15147,15.54853,2020-06-26
ITB,42.72,42.48,42.57,41.68,42.72,42.48,42.48,42.57,41.68,,2632806,41.96,1279338112,,,,,,42.464413,40.88831,2020-06-26
IAI,60.9302,59.99,59.79,57.89,60.9302,59.99,59.99,59.79,57.89,,15237,57.94,116281720,,,,,,60.762352,62.246838,2020-06-26
