,country,name,full_name,symbol,currency,class,market
184,austria,RDX NTR Leverage x2 NTR EUR,Russian Depositary Leverage x2 Net Total Return EUR,RDXLV2,EUR,other_indices,world_indices
185,austria,RDX Extended USD,RDX Extended USD,RXUSD,USD,other_indices,world_indices
186,austria,RTX Mid Cap USD,RTX Mid Cap USD,RTXMUSD,USD,other_indices,world_indices
187,austria,RDX TR USD,RDX TR USD,RDXTRU,USD,other_indices,world_indices
188,austria,RDX USD,RDX USD,RDXUSD,USD,other_indices,world_indices
189,austria,Romanian Traded EUR,Romanian Traded EUR,ROTXEUR,EUR,other_indices,world_indices
190,austria,Romanian Traded in RON,Romanian Traded in RON,ROTX,RON,other_indices,world_indices
191,austria,Romanian Traded USD,Romanian Traded USD,ROTXUSD,USD,other_indices,world_indices
192,austria,RTX Mid Cap EUR,RTX Mid Cap EUR,RTXMEUR,EUR,other_indices,world_indices
193,austria,RTX Mid Cap RUB,RTX Mid Cap RUB,RTXML,RUB,other_indices,world_indices
194,austria,Russian Traded EUR,Russian Traded EUR,RTXEUR,EUR,other_indices,world_indices
195,austria,RDX TR EUR,RDX TR EUR,RDXTRE,EUR,other_indices,world_indices
196,austria,Russian Traded RUB,Russian Traded RUB,RTXL,RUB,other_indices,world_indices
197,austria,DJ Austria USD,Dow Jones Austria USD,ATDOWD,USD,major_indices,global_indices
198,austria,Serbian RSD,Serbian RSD,SRXL,RSD,other_indices,world_indices
199,austria,DJ Austria,Dow Jones Austria,ATDOW,EUR,major_indices,global_indices
200,austria,TR Austria 3 Years Government Benchmark,Thomson Reuters Austria 3 Years Government Benchmark,TRXVOEGOV3E,EUR,bonds,global_indices
201,austria,TR Austria 30 Years Government Benchmark,Thomson Reuters Austria 30 Years Government Benchmark,TRXVOEGOV30E,EUR,bonds,global_indices
202,austria,TR Austria 5 Years Government Benchmark,Thomson Reuters Austria 5 Years Government Benchmark,TRXVOEGOV5E,EUR,bonds,global_indices
203,austria,TR Austria 10 Years Government Benchmark,Thomson Reuters Austria 10 Years Government Benchmark,TRXVOEGOV10E,EUR,bonds,global_indices
204,austria,TR Austria 2 Years Government Benchmark,Thomson Reuters Austria 2 Years Government Benchmark,TRXVOEGOV2E,EUR,bonds,global_indices
205,austria,BNY Mellon Austria Classic ADR,BNY Mellon Austria Classic ADR,BKCAT,USD,additional_indices,global_indices
206,austria,BNY Mellon Austria Classic ADR TR,BNY Mellon Austria Classic ADR Total Return,BKCATT,USD,additional_indices,global_indices
207,austria,Russian USD,Russian USD,RTX,USD,other_indices,world_indices
208,austria,RDX Extended EUR,RDX Extended EUR,RXEUR,EUR,other_indices,world_indices
209,austria,Wiener Boerse,Wiener Boerse,WBKI,EUR,other_indices,world_indices
210,austria,VBV Osterreichischer Nachhaltigkeitsindex,VBV Osterreichischer Nachhaltigkeitsindex,VONIX,EUR,other_indices,world_indices
211,austria,SRX,SRX,SRXEUR,EUR,other_indices,world_indices
212,austria,South East Europe USD,South East Europe USD,SETXUSD,USD,other_indices,world_indices
213,austria,South East Europe EUR,South East Europe EUR,SETXEUR,EUR,other_indices,world_indices
214,austria,Short CECE,Short CECE,SCECE,EUR,other_indices,world_indices
215,austria,Short ATX,Short ATX,SATX,EUR,other_indices,world_indices
216,austria,Serbian USD,Serbian USD,SRXUSD,USD,other_indices,world_indices
217,austria,TR Austria 7 Years Government Benchmark,Thomson Reuters Austria 7 Years Government Benchmark,TRXVOEGOV7E,EUR,bonds,global_indices
218,austria,Polish Traded PLN,Polish Traded PLN,PTL,PLN,other_indices,world_indices
219,austria,ATX five Settlement EUR,ATX five Settlement EUR,ATX5S,EUR,other_indices,world_indices
220,austria,MSCI Austria,MSCI Austria,MSCIAT,EUR,other_indices,world_indices
221,austria,RTX Energy USD,RTX Energy USD,RXNRGUSD,USD,other_indices,world_indices
222,austria,RTX Mining & Metals EUR,RTX Mining & Metals EUR,RXMETEUR,EUR,other_indices,world_indices
223,austria,RTX Mining & Metals RUB,RTX Mining & Metals RUB,RXMETL,RUB,other_indices,world_indices
224,austria,RTX Mining & Metals USD,RTX Mining & Metals USD,RXMETUSD,USD,other_indices,world_indices
225,austria,RTX Oil & Gas EUR,RTX Oil & Gas EUR,RXOILEUR,EUR,other_indices,world_indices
226,austria,RTX Oil & Gas RUB,RTX Oil & Gas RUB,RXOILL,RUB,other_indices,world_indices
227,austria,RTX Oil & Gas USD,RTX Oil & Gas USD,RXOILUSD,USD,other_indices,world_indices
228,austria,ATX Distributing,ATX Distributing,ATXDSTB,EUR,other_indices,world_indices
229,austria,ATX Dividend Points,ATX Dividend Points,ATXD,EUR,other_indices,world_indices
230,austria,RTX Energy RUB,RTX Energy RUB,RXNRGL,RUB,other_indices,world_indices
231,austria,ATX Fundamental,ATX Fundamental,ATXFND,EUR,other_indices,world_indices
232,austria,ATX NTR,ATX Net Total Return,ATXNTR,EUR,other_indices,world_indices
233,austria,ATX NTR Leverage x2,ATX Net Total Return Leverage x2,ATXLV2,EUR,other_indices,world_indices
234,austria,ATX NTR Leverage x4,ATX Net Total Return Leverage x4,ATXLV4,EUR,other_indices,world_indices
235,austria,ATX Settlement,ATX Settlement,ATXS,EUR,other_indices,world_indices
236,austria,Polish Traded EUR,Polish Traded EUR,PTXEUR,EUR,other_indices,world_indices
