Ticker,etfcom,etfdb
PGHY,True,True
PGJ,True,True
PGM,True,True
PGX,True,True
PHB,True,True
PHDG,True,True
PHO,True,True
PHYL,True,True
PICB,True,True
PICK,True,True
PID,True,True
PIE,True,True
PILL,True,True
PIN,True,True
PIO,True,True
PIZ,True,True
PJAN,True,False
PJP,True,True
PJUL,True,True
PJUN,True,True
PKB,True,True
PKW,True,True
PLAT,True,True
PLC,True,True
PLTM,True,True
PLW,True,True
PMAR,True,True
PMAY,True,True
PNOV,True,True
PNQI,True,True
POCT,True,True
POTX,True,True
PPA,True,True
PPDM,False,True
PPEM,False,True
PPH,True,True
PPLC,False,True
PPLT,True,True
PPMC,False,True
PPSC,False,True
PPTY,True,True
PQDI,True,True
PQIN,True,True
PQLC,True,True
PQSG,True,True
PQSV,True,True
PREF,True,True
PRF,True,True
PRFZ,True,True
PRN,True,True
PRNT,True,True
PSC,True,True
PSCC,True,True
PSCD,True,True
PSCE,True,True
PSCF,True,True
PSCH,True,True
PSCI,True,True
PSCM,True,True
PSCT,True,True
PSCU,True,True
PSEP,True,True
PSET,True,True
PSI,True,True
PSJ,True,True
